                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.0549,                 1.7752,                 1.4283,                0.44939,                0.42332,                 0.3927,                0.27924,                 1.1675,                 1.8708,                 1.4762,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0584,                 1.7581,                 1.4287,                0.45526,                0.42475,                0.39507,                0.28014,                 1.1675,                 1.8689,                 1.4773,               0.004654,               0.004654,               0.004654
                    110,                 1.0563,                 1.7406,                 1.4247,                0.46621,                0.42023,                0.39604,                 0.2805,                 1.1653,                 1.8684,                 1.4753,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0709,                 1.7615,                 1.4305,                0.46177,                 0.4237,                0.39801,                0.28186,                 1.1632,                 1.8668,                 1.4732,               0.004555,               0.004555,               0.004555
                    112,                 1.0562,                 1.7483,                 1.4178,                0.46457,                0.42457,                0.40019,                0.28378,                 1.1622,                 1.8618,                  1.472,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0565,                  1.752,                  1.427,                0.48224,                0.41954,                0.40185,                0.28439,                 1.1609,                 1.8593,                 1.4701,               0.004456,               0.004456,               0.004456
                    114,                 1.0521,                 1.7276,                 1.4176,                0.47699,                0.42291,                0.40324,                0.28541,                 1.1602,                 1.8577,                 1.4686,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0559,                 1.7159,                 1.4188,                0.47574,                0.41991,                0.40293,                 0.2856,                 1.1596,                 1.8578,                  1.468,               0.004357,               0.004357,               0.004357
                    116,                 1.0597,                 1.7331,                 1.4153,                0.47981,                0.41887,                 0.4014,                0.28395,                 1.1579,                 1.8583,                  1.466,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0561,                 1.7147,                 1.4172,                0.46887,                0.42295,                0.40185,                 0.2851,                 1.1576,                 1.8573,                 1.4653,               0.004258,               0.004258,               0.004258
                    118,                 1.0448,                 1.6996,                 1.4109,                0.47465,                0.42057,                 0.4039,                0.28542,                 1.1578,                 1.8551,                 1.4651,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0493,                 1.7003,                 1.4198,                0.47991,                0.42235,                0.40395,                0.28536,                 1.1573,                  1.852,                 1.4642,               0.004159,               0.004159,               0.004159
                    120,                 1.0577,                 1.6883,                 1.4133,                0.46266,                0.43568,                0.40371,                0.28539,                 1.1572,                 1.8497,                 1.4635,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0501,                 1.6741,                 1.4114,                0.45738,                0.43508,                0.40462,                0.28594,                 1.1565,                 1.8465,                 1.4629,                0.00406,                0.00406,                0.00406
                    122,                 1.0383,                 1.6758,                 1.4131,                0.46435,                0.43387,                0.40561,                0.28732,                 1.1569,                 1.8443,                 1.4636,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0476,                 1.6652,                 1.4067,                0.46441,                0.43404,                0.40484,                0.28745,                 1.1571,                 1.8425,                  1.464,               0.003961,               0.003961,               0.003961
                    124,                 1.0304,                 1.6632,                 1.4099,                0.46306,                0.43517,                0.40594,                0.28826,                 1.1574,                 1.8413,                 1.4645,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0458,                 1.6504,                 1.4097,                 0.4624,                0.43453,                0.40679,                0.28868,                 1.1573,                 1.8404,                 1.4646,               0.003862,               0.003862,               0.003862
                    126,                 1.0416,                 1.6461,                 1.4089,                0.46651,                0.43239,                0.40716,                0.28935,                 1.1575,                 1.8399,                 1.4644,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0474,                 1.6486,                 1.4131,                0.46841,                0.43081,                 0.4055,                0.28743,                 1.1572,                 1.8393,                 1.4642,               0.003763,               0.003763,               0.003763
                    128,                 1.0343,                 1.6369,                 1.4002,                0.46993,                0.43051,                0.40515,                0.28743,                 1.1574,                 1.8369,                  1.464,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0327,                 1.6368,                 1.4032,                0.46942,                0.43086,                0.40595,                 0.2881,                 1.1572,                 1.8369,                 1.4638,               0.003664,               0.003664,               0.003664
                    130,                 1.0414,                 1.6455,                 1.4035,                0.46776,                0.43005,                0.40624,                0.28866,                 1.1572,                 1.8358,                 1.4631,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0311,                 1.6231,                 1.3955,                 0.4699,                0.42897,                0.40666,                0.28854,                 1.1571,                  1.835,                 1.4627,               0.003565,               0.003565,               0.003565
                    132,                 1.0344,                 1.6154,                 1.3959,                0.46979,                0.42885,                0.40756,                0.28925,                 1.1567,                 1.8348,                 1.4622,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0308,                 1.6253,                 1.3953,                0.46579,                 0.4327,                0.40892,                0.28969,                 1.1563,                 1.8345,                 1.4612,               0.003466,               0.003466,               0.003466
